item_id,verdict,note
AL0280,question_underspecified,people come most times未明确按visit记录数还是票数衡量到访次数；SQL采用visit记录数。
AL0281,answers,
AL0282,answers,
AL0283,answers,
AL0284,does_not_answer,student_id与transcript_id不是关联键，直接相等连接会把不同实体的编号误当关系，也不能据此识别最早毕业生。
AL0285,answers,
AL0286,answers,
AL0287,answers,
AL0288,answers,
AL0289,answers,
AL0290,answers,
AL0291,answers,
AL0292,answers,
AL0293,answers,
AL0294,answers,
AL0295,question_underspecified,未指定按治疗类型最低单次费用、平均费用还是累计费用判断least expensive；SQL按单次最低费用。
AL0296,answers,
AL0297,answers,
AL0298,answers,
AL0299,answers,
AL0300,answers,
AL0301,answers,
AL0302,answers,
AL0303,answers,
AL0304,answers,
AL0305,answers,
AL0306,does_not_answer,SourceAirport带前导空格，APG和CVO直接匹配均为空，未找出真实交集航空公司。
AL0307,answers,
AL0308,answers,
AL0309,answers,
AL0310,does_not_answer,City实际为Aberdeen加尾空格，原等值条件遗漏该市机场。
AL0311,does_not_answer,仅统计Friend.student_id中的学生，遗漏只有friend_id端记录但有朋友的学生，平均年级计算范围不完整。
AL0312,answers,
AL0313,answers,
AL0314,question_underspecified,未明确平均人口以全库城市还是各区内城市为基准；SQL采用全库平均。
AL0315,answers,
AL0316,does_not_answer,student_enrolment_id与transcript_id不是有效关联键，忽略课程和成绩单内容的关系，不能据此定位最早毕业生。
AL0317,does_not_answer,DestAirport中的AHD带前导空格，原SQL返回空集而遗漏相关航空公司。
AL0318,answers,
AL0319,answers,
AL0320,answers,
AL0321,answers,
AL0322,answers,
AL0323,answers,
AL0324,answers,
AL0325,does_not_answer,Caribbean是加勒比地区，不能代替US Territory分类，纳入非美国属地且遗漏其他美国属地。
AL0326,answers,
AL0327,answers,
AL0328,answers,
AL0329,answers,
AL0330,answers,
AL0331,answers,
AL0332,answers,
AL0333,answers,
AL0334,answers,
AL0335,does_not_answer,Europe不属于Region值，正确字段为Continent，导致返回空集而非符合条件的欧洲城市。
AL0336,answers,
AL0337,answers,
AL0338,answers,
AL0339,answers,
AL0340,answers,
AL0341,answers,
AL0342,answers,
AL0343,answers,
AL0344,answers,
AL0345,answers,
AL0346,answers,
AL0347,answers,
AL0348,answers,
AL0349,answers,
AL0350,answers,
AL0351,answers,
AL0352,answers,
AL0353,answers,
AL0354,answers,
AL0355,answers,
AL0356,does_not_answer,DestAirport实际带前导空格，直接匹配APG遗漏实际到达的航班。
AL0357,answers,
AL0358,answers,
AL0359,answers,
AL0360,answers,
AL0361,answers,
AL0362,answers,
AL0363,answers,
AL0364,answers,
AL0365,answers,
AL0366,answers,
AL0367,answers,
AL0368,answers,
AL0369,answers,
AL0370,answers,
AL0371,does_not_answer,只计算student_id端，遗漏Kyle在friend_id端的两条关系，实际朋友数3而非1。
AL0372,answers,
AL0373,answers,
AL0374,does_not_answer,航班代码前导空格和城市名尾空格使连接条件不成立，未返回Aberdeen出发航班。
AL0375,does_not_answer,COUNT(Language)计算各国语言记录总数，未去除同一语言跨国重复，统计量不是各洲不同语言数量。
AL0376,answers,
AL0377,answers,
AL0378,does_not_answer,SourceAirport中的AHD带前导空格，直接匹配使United Airlines实际出发航班被漏计。
AL0379,answers,
AL0380,answers,
AL0381,answers,
AL0382,answers,
AL0383,answers,
AL0384,does_not_answer,未处理机场代码前导空格及城市名尾空格，原SQL返回0；United Airlines实际有3班到达Aberdeen。
AL0385,answers,
AL0386,does_not_answer,只识别Friend.student_id端的学生，遗漏friend_id端学生；正确有朋友学生的平均年级为10.5。
AL0387,answers,
AL0388,does_not_answer,只读取Kyle发出的关系，漏掉入向朋友Jessica、Austin；并非Kyle全部朋友名单。
AL0389,does_not_answer,Horsepower为文本且含字符串null，字典序降序选到ford；按数值最大马力应为115，对应citroen等。
AL0390,answers,
AL0391,does_not_answer,州名实际存为NorthCarolina而非North Carolina，原查询错误为空；符合未注册条件者包括Gleichner和Weimann。
AL0392,answers,
AL0393,question_underspecified,age与出生日期在本库矛盾；题目未说明按哪个判断最年轻，SQL按最新出生日期选择。
AL0394,answers,
AL0395,answers,
AL0396,does_not_answer,机场代码带前导空格、City带尾空格，直接连接筛选遗漏Aberdeen的实际到达航班。
AL0397,answers,
AL0398,answers,
AL0399,answers,
AL0400,answers,
AL0401,answers,
AL0402,answers,
AL0403,answers,
AL0404,answers,
AL0405,does_not_answer,amc hornet sportabout (sw)存于Make列而非Model列，原SQL返回空集；正确记录Accelerate为13.5。
AL0406,does_not_answer,按国家分组后只取每组任意一个id，实际只返回700，而应返回符合国家内全部12个频道id。
AL0407,answers,
AL0408,does_not_answer,数据库州名为NorthCarolina，不带中间空格；筛选North Carolina漏掉实际符合的两位学生。
AL0409,answers,
AL0410,answers,
AL0411,answers,
AL0412,answers,
AL0413,answers,
AL0414,answers,
AL0415,answers,
AL0416,does_not_answer,仅统计student_id端，遗漏Kyle的入向朋友关系；实际有3名朋友而非1名。
AL0417,answers,
AL0418,does_not_answer,英文月份文本按字典序排序，不等于实际播出时间先后。
AL0419,does_not_answer,代码前导空格和城市尾空格导致错误计数0；实际有3班United Airlines到达Aberdeen。
AL0420,answers,
AL0421,does_not_answer,机场代码无前导空格、航班代码有前导空格，NOT IN误判全部100个机场均无航班。
AL0422,answers,
AL0423,answers,
AL0424,does_not_answer,Original_air_date为英文月份文本，降序选中2008-11-21，而实际最新为2009-02-27。
AL0425,question_underspecified,胜场最多者可确定，但其积分随比赛变化；问题未指定积分时点或汇总规则，SQL取了组内某条积分。
AL0426,answers,
AL0427,does_not_answer,SourceAirport中的AHD带前导空格，直接匹配错误返回0。
AL0428,answers,
AL0429,answers,
AL0430,does_not_answer,按车辆记录返回252行，未去重，重复列出仅26种车型；问题询问的是哪些车型。
AL0431,answers,
AL0432,answers,
AL0433,does_not_answer,选出三条比赛记录且均是Madison Keys，未给出三位不同的最年轻获胜者。
AL0434,answers,
AL0435,does_not_answer,问题要求人口为80000，SQL却用大于80000，比较运算符不符。
AL0436,does_not_answer,COUNT(*)数的是胜场，重复计算同一胜者；实际为2位左手胜者，SQL返回3场。
AL0437,answers,
AL0438,answers,
AL0439,answers,
AL0440,answers,
AL0441,answers,
AL0442,answers,
AL0443,answers,
AL0444,answers,
AL0445,answers,
AL0446,answers,
AL0447,answers,
AL0448,answers,
AL0449,answers,
AL0450,answers,
AL0451,question_underspecified,likes does Kyle have未明确收到的喜欢还是他发出的喜欢；SQL统计后者。
AL0452,answers,
AL0453,answers,
AL0454,answers,
AL0455,question_underspecified,with more than 1 room可修饰仅apartments，也可同时修饰houses和apartments；SQL采用后者。
AL0456,answers,
AL0457,answers,
AL0458,answers,
AL0459,answers,
AL0460,question_underspecified,未明确国家全部频道均无该作者作品，还是存在某频道没有即可；SQL按存在不播放的频道筛国家。
AL0461,answers,
AL0462,does_not_answer,按各国语言记录计数而非不同语言去重计数，同一种语言在多个国家被重复计算，不能衡量语言多样性。
AL0463,answers,
AL0464,answers,
AL0465,does_not_answer,机场代码前导空格及City尾空格使连接筛选失配，未返回Aberdeen出发航班。
AL0466,answers,
AL0467,does_not_answer,未处理航班机场代码和城市名中的空格，误计为0班。
AL0468,answers,
AL0469,does_not_answer,代码与城市字段的额外空格导致错误计数0；规范化后United Airlines到达Aberdeen为3班。
AL0470,does_not_answer,只检查Friend.student_id端，忽略入向朋友关系，误把有朋友的学生纳入无朋友者。
AL0471,answers,
AL0472,question_underspecified,超过1个房间的条件可只修饰公寓，也可修饰房屋和公寓两者；此SQL只约束公寓。
AL0473,answers,
AL0474,does_not_answer,额外内连接model_list/car_makers遗漏了重量超过3500但缺少制造商对应记录的hi车型。
AL0475,answers,
AL0476,answers,
AL0477,does_not_answer,未按制造商去重，34条车辆关联记录重复列出仅11家制造商，结果粒度不是制造商名单。
AL0478,answers,
AL0479,answers,
AL0480,does_not_answer,MPG以文本排序且包含字符串null，误选citroen；数值最大MPG对应mazda。
AL0481,answers,
AL0482,does_not_answer,把两位导演名字合并为单个等值字符串，库中无该值，既未取两位导演作品并集，也未找同时播放两者的频道。
AL0483,answers,
AL0484,answers,
AL0485,answers,
AL0486,answers,
AL0487,answers,
AL0488,question_underspecified,likes未明确是Kyle收到的喜欢还是发出的喜欢；SQL统计收到的喜欢。
AL0489,answers,
AL0490,answers,
AL0491,answers,
AL0492,answers,
AL0493,answers,
AL0494,answers,
AL0495,answers,
AL0496,answers,
AL0497,answers,
AL0498,answers,
AL0499,does_not_answer,面积大于欧洲任意国家通常要求超过欧洲最大面积，SQL却与最小面积比较，返回几乎所有国家。
AL0500,answers,
AL0501,question_underspecified,未指明likes的方向；SQL统计Kyle喜欢他人的数量，而非他人喜欢Kyle的数量。
AL0502,answers,
AL0503,does_not_answer,仅列Kyle在student_id端的朋友Jordan，遗漏friend_id端的Jessica和Austin。
AL0504,answers,
AL0505,answers,
AL0506,answers,
AL0507,answers,
AL0508,does_not_answer,OR重量条件本可独立满足，但额外制造商内连接遗漏了符合重量条件的hi车型。
AL0509,answers,
AL0510,answers,
AL0511,question_underspecified,题目未说明按年龄升序还是降序，生日升序等于年龄降序。
AL0512,answers,
AL0513,answers,
AL0514,answers,
AL0515,does_not_answer,机场代码与航班代码的前导空格不一致，NOT IN将有航班的机场也判为无航班，错误返回全部100个。
AL0516,answers,
AL0517,answers,
AL0518,does_not_answer,SourceAirport中APG带前导空格，直接比较计为0，实际为11班。
AL0519,answers,
AL0520,answers,
AL0521,answers,
AL0522,answers,
AL0523,answers,
AL0524,does_not_answer,两个SourceAirport条件都未处理前导空格，交集错误为空。
AL0525,answers,
AL0526,answers,
AL0527,answers,
AL0528,answers,
AL0529,answers,
AL0530,answers,
AL0531,does_not_answer,机场代码与城市名的额外空格使连接和筛选不匹配，错误返回0。
AL0532,answers,
AL0533,does_not_answer,IsOfficial表示官方地位，不表示西班牙语占主要使用比例；即使计数巧合相同也不符合predominantly的条件。
AL0534,answers,
AL0535,answers,
AL0536,answers,
AL0537,question_underspecified,sold than 300000缺少比较方向词，不能确定要求大于还是小于；SQL假定大于。
AL0538,answers,
AL0539,does_not_answer,SourceAirport实际带前导空格，直接匹配APG未返回任何实际出发航班。
AL0540,does_not_answer,与制造商表的内连接遗漏缺少匹配的hi车型，尽管该车型重量超过3500，应满足OR条件。
AL0541,answers,
AL0542,answers,
AL0543,does_not_answer,MPG中的字符串null被AVG按0参与平均；排除缺失值后平均约29.2868，而非28.8623。
AL0544,does_not_answer,SourceAirport带前导空格，AHD等值条件不匹配，未返回符合的航空公司。
AL0545,answers,
AL0546,question_underspecified,未明确likes指Kyle收到还是发出的喜欢；SQL按收到的喜欢计数。
AL0547,answers,
AL0548,answers,
AL0549,answers,
AL0550,answers,
AL0551,answers,
AL0552,answers,
AL0553,answers,
AL0554,answers,
AL0555,answers,
AL0556,answers,
AL0557,answers,
AL0558,does_not_answer,City中的Aberdeen带尾空格，等值筛选错误返回空集。
AL0559,answers,
AL0560,does_not_answer,只检查存在西班牙语记录，未要求其使用比例占主导，包含仅少数人使用西班牙语的国家。
AL0561,answers,
AL0562,answers,
AL0563,does_not_answer,缺少PetType为dog的筛选，选的是全体宠物中最年轻者；本库碰巧为狗不能替代该条件。
AL0564,answers,
AL0565,answers,
AL0566,answers,
AL0567,answers,
AL0568,answers,
AL0569,does_not_answer,City实际为Anthony加尾空格，原SQL遗漏对应机场。
AL0570,answers,
AL0571,does_not_answer,三个最小年龄的比赛记录均属于Madison Keys，未返回三位不同获胜者。
AL0572,answers,
AL0573,answers,
AL0574,answers,
AL0575,answers,
AL0576,does_not_answer,MPG是文本且含字符串null，MAX得到null字符串而非数值最大值43.1。
AL0577,answers,
AL0578,answers,
AL0579,answers,
AL0580,answers,
AL0581,answers,
AL0582,answers,
AL0583,answers,
AL0584,answers,
AL0585,answers,
AL0586,answers,
AL0587,question_underspecified,ordered by how old未指定年龄升序或降序，SQL选择升序。
AL0588,answers,
AL0589,does_not_answer,SourceAirport的前导空格未处理，CVO和APG条件不匹配，结果错误为空。
AL0590,answers,
AL0591,answers,
AL0592,answers,
AL0593,answers,
AL0594,answers,
AL0595,answers,
AL0596,question_underspecified,largest percentage可指西班牙语在各国的占比全球最高，也可指它在该国内超过其他语言；SQL采用全球最高占比。
AL0597,answers,
AL0598,answers,
AL0599,answers,
AL0600,answers,
AL0601,does_not_answer,Horsepower含文本null，CAST将缺失值转为0后参与平均，低估1980年前车辆的平均马力。
AL0602,answers,
AL0603,does_not_answer,AVG将Horsepower列里的null字符串当0计算，没有排除缺失马力。
AL0604,answers,
AL0605,answers,
AL0606,does_not_answer,航班代码前导空格与城市名尾空格导致连接及筛选失配，未返回实际出发航班。
AL0607,answers,
AL0608,does_not_answer,SourceAirport中的APG带前导空格，等值匹配为空。
AL0609,does_not_answer,Tracy因有两只狗被重复返回，同一学生应只在所问名单中出现一次。
AL0610,does_not_answer,NOT IN两边代码的前导空格不一致，把全部100个机场误判为无进出航班。
AL0611,answers,
AL0612,answers,
AL0613,answers,
AL0614,question_underspecified,问题未明确两年均须获胜，还是获胜过且两年均参赛；SQL要求两年均有胜场。
AL0615,does_not_answer,DestAirport中的AHD带前导空格，查询错误返回空集。
AL0616,answers,
AL0617,answers,
AL0618,does_not_answer,只纳入Friend.student_id中的学生，遗漏friend_id端有朋友的学生，平均值不是完整人群的10.5。
AL0619,does_not_answer,Horsepower中的null字符串被当成0计入AVG，造成平均马力偏低。
AL0620,answers,
AL0621,answers,
AL0622,answers,
AL0623,does_not_answer,DestAirport中的ATO带前导空格，原SQL返回0，规范化后为7班。
AL0624,answers,
AL0625,answers,
AL0626,answers,
AL0627,question_underspecified,largest percentage可能指各国内西班牙语占比最高，或全球西班牙语占比最高的国家；SQL只选全球最高的一国再计数。
AL0628,answers,
AL0629,answers,
AL0630,answers,
AL0631,answers,
AL0632,answers,
AL0633,does_not_answer,返回各个符合国家的制造商数量4、4、3、5，而问题要求符合条件的国家总数4。
AL0634,answers,
AL0635,does_not_answer,original_air_date为英文月份文本，字典序不是实际播出时间顺序。
AL0636,answers,
AL0637,does_not_answer,文本日期降序误选2008-11-21，实际最新动画为2009-02-27，制作代码112、频道707。
AL0638,answers,
AL0639,answers,
AL0640,answers,
AL0641,answers,
AL0642,answers,
AL0643,does_not_answer,INNER JOIN按朋友关系数重复加权学生年级，且遗漏入向朋友，结果10.25而非按学生计算的10.5。
AL0644,answers,
AL0645,answers,
AL0646,answers,
AL0647,answers,
AL0648,answers,
AL0649,answers,
AL0650,answers,
AL0651,does_not_answer,存在某个不播放该作者作品的频道，不等于该国不播放；意大利和英国实际有播放，应排除。
AL0652,answers,
AL0653,answers,
AL0654,answers,
AL0655,answers,
AL0656,answers,
AL0657,answers,
AL0658,does_not_answer,州名实际为NorthCarolina，没有中间空格，原SQL漏掉符合条件的Gleichner和Weimann。
AL0659,answers,
AL0660,answers,
AL0661,answers,
AL0662,does_not_answer,机场代码与航班代码的前导空格不一致，错误将全部机场归为无航班。
AL0663,answers,
AL0664,answers,
AL0665,answers,
AL0666,does_not_answer,只沿student_id到friend_id查找Kyle的朋友，遗漏反向记录中的Jessica和Austin。
AL0667,does_not_answer,机场代码前导空格和城市名尾空格未处理，返回空集而非实际Aberdeen出发航班。
AL0668,answers,
AL0669,answers,
AL0670,answers,
AL0671,answers,
AL0672,answers,
AL0673,answers,
AL0674,answers,
AL0675,answers,
AL0676,does_not_answer,歌手参加多场2014年演唱会时被重复列出；6条结果只有5位歌手，缺少去重。
AL0677,answers,
AL0678,answers,
AL0679,answers,
AL0680,answers,
AL0681,answers,
AL0682,answers,
AL0683,answers,
AL0684,does_not_answer,航班代码及城市名的空格使连接筛选失配，原SQL计为0，实际到达Aberdeen为21班。
AL0685,does_not_answer,每国只取一个Language，未保留所有并列最高语言；库中有8个国家的最高Percentage并列，结果遗漏相应语言。
AL0686,answers,
AL0687,answers,
AL0688,does_not_answer,SourceAirport中的AHD带前导空格，直接比较未返回符合的航空公司。
AL0689,answers,
AL0690,answers,
AL0691,answers,
AL0692,does_not_answer,INNER JOIN排除了0场演唱会的Joe Sharp，无法回答每位歌手的场次数。
AL0693,answers,
