item_id,verdict,note
AL0108,does_not_answer,机场代码有前导空格，城市名有尾随空格；直接筛选或连接失配，规范化对照可返回实际记录。
AL0109,answers,返回Sky Radio频道播放的动画标题。
AL0110,answers,排除France国籍后返回歌手名。
AL0111,answers,正确统计9或10年级高中生。
AL0112,does_not_answer,机场代码有前导空格，城市名有尾随空格；直接筛选或连接失配，规范化对照可返回实际记录。
AL0113,does_not_answer,机场代码有前导空格，城市名有尾随空格；直接筛选或连接失配，规范化对照可返回实际记录。
AL0114,answers,按最小宠物年龄取类型和重量。
AL0115,answers,正确返回Angola的地区和人口。
AL0116,answers,按歌手国家分组计数。
AL0117,answers,按净资产数值升序排列歌手姓名。
AL0118,does_not_answer,只比较亚洲某个国家内的语言占比，未衡量整个亚洲的语言普及程度。
AL0119,answers,返回数据库中Beatrix领导的国家所记录的官方语言。
AL0120,answers,筛选一级会员并汇总所有访问的票务支出。
AL0121,answers,分组检验同时存在猫和狗；当前养宠学生名字不重名，结果为空。
AL0122,answers,正确以弃养标记1筛选狗名、年龄和重量。
AL0123,answers,按商品数降序取最多店铺的经理名和地区。
AL0124,answers,关联厂商并去重国家，列顺序不同不影响回答。
AL0125,answers,返回Anguilla所属洲。
AL0126,answers,按厂家统计型号数并筛选大于3，返回厂家ID和名称。
AL0127,answers,统计Aruba的语言记录数。
AL0128,answers,筛选重量3000至4000磅并返回不同生产年份。
AL0129,answers,排除有Friend记录的学生后取最低年级。
AL0130,answers,筛选Australian Open并按胜者排名积分降序取姓名。
AL0131,answers,筛选2013年以后演唱会，按场馆计数取最大者。
AL0132,does_not_answer,连接全部历史排名使胜场数被放大，且未限定日期就返回任意ranking_points。
AL0133,does_not_answer,最早年份有35辆车，LIMIT 1遗漏其余最早生产车辆。
AL0134,answers,取官方英语国家与官方法语国家的交集。
AL0135,answers,正确统计主要唱片格式为CD或DVD的乐团。
AL0136,answers,按标题字母升序列出全部动画。
AL0137,answers,按商品数量最高的店铺返回经理姓名与地区。
AL0138,answers,排除存在雇佣记录的店铺。
AL0139,answers,统计各演唱会歌手数；实际名称和主题组合唯一且覆盖全部6场。
AL0140,answers,返回商品数高于全部店铺平均值的店名。
AL0141,answers,先找频道数大于2的国家，再返回这些国家全部频道ID。
AL0142,answers,关联厂家、型号及汽车记录，返回1970年生产过汽车的厂家并去重。
AL0143,answers,按库中JetBlue Airways名称返回缩写。
AL0144,answers,返回没有任何雇佣记录的店铺名称。
AL0145,answers,筛选高于歌手平均年龄者并返回歌曲。
AL0146,does_not_answer,机场代码有前导空格，城市名有尾随空格；直接筛选或连接失配，规范化对照可返回实际记录。
AL0147,question_underspecified,age与出生日期的年龄顺序冲突；按登记age统计为9，按出生日期比较另有结果。
AL0148,answers,实际年龄均为两位数字文本，升序正确选出最年轻教师籍贯。
AL0149,question_underspecified,两位导演的“and”可指频道同时有两者作品或任一者作品；SQL采用任一者。
AL0150,answers,正确统计2014或2015年的演唱会。
AL0151,does_not_answer,机场代码有前导空格，城市名有尾随空格；直接筛选或连接失配，规范化对照可返回实际记录。
AL0152,answers,以AFG和官方语言标记T正确计数。
AL0153,answers,返回曾执行费用低于全部治疗平均费用项目的专业人员并去重。
AL0154,does_not_answer,美国属地的政府形式记为'US Territory'，不是含United States的字符串；结果错误为空汇总。
AL0155,answers,返回10年级全部学生姓名。
AL0156,question_underspecified,age与出生日期对应的最年轻狗不同；问题未指定依据，SQL按出生日期。
AL0157,answers,先将Horsepower转换为数值，再正确统计大于150的汽车。
AL0158,does_not_answer,birth_date是YYYYMMDD整数，strftime结果全NULL，左手球员未按年龄排序。
AL0159,does_not_answer,SQL统计语言数量，而问题问国籍数量；两个概念不同。
AL0160,answers,在WTA Championships胜者记录中统计不同左手球员。
AL0161,question_underspecified,7个籍贯各有1名教师并列最多；题目未说明并列时取一处还是全部。
AL0162,answers,按人口升序返回3个最低人口国家；问题明确要求3个。
AL0163,answers,按赛事及左手标记筛选，并对胜者ID去重计数。
AL0164,does_not_answer,有船在其他地点损失不等于没有船在English Channel损失；还漏掉无损失船只的战役。
AL0165,answers,按国籍分组返回最大净资产。
AL0166,answers,排除播过Ben Jones动画的频道后返回其套餐。
AL0167,answers,筛选四缸汽车并按数值马力降序返回最高车型。
AL0168,answers,排除Republic政府形式及存在英语记录的国家。
AL0169,answers,限定欧洲并按国家制造商数至少3筛选。
AL0170,answers,返回非俄罗斯国籍人员姓名。
AL0171,answers,正确统计非洲各国不同政府形式数。
AL0172,answers,返回指定剧集的周排名。
AL0173,answers,按亚洲国家面积降序返回最大者的名称、人口和预期寿命。
AL0174,does_not_answer,以语言数代替国籍数，未回答问题所要求的数量维度。
AL0175,does_not_answer,播出日期为英文月份文本，字典序选出2008年11月而非最新2009年2月动画。
AL0176,answers,按最小歌手年龄返回歌曲名和发行年。
AL0177,answers,机场表AirportCode准确匹配AKO并返回名称。
AL0178,answers,按弃养标记1返回狗名、年龄和重量。
AL0179,answers,正确筛选32岁或33岁的教师姓名。
AL0180,answers,排除有朋友关系记录的学生后取最低年级。
AL0181,answers,交集正确要求球员在2013与2016均有胜场。
AL0182,answers,返回Sky Radio频道全部剧集名称。
AL0183,does_not_answer,历史排名连接放大比赛记录，按积分再分组，选出Karolina而非胜场最多的Angelique。
AL0184,does_not_answer,Africa属于Continent取值，错误使用Region导致AVG为NULL。
AL0185,answers,以永久地址关联，并使用Haiti或指定手机号码的条件。
AL0186,does_not_answer,城市实际存为'Anthony '，直接等值匹配漏掉ANY机场。
AL0187,does_not_answer,城市尾随空格及航班代码前导空格使筛选失配；规范化后Aberdeen出发数为21。
AL0188,answers,关联扑克玩家并按身高降序返回最高者的奖金排名。
AL0189,answers,按高清标记yes返回套餐选项和系列名称。
AL0190,answers,正确统计GovernmentForm字段为Republic的国家数。
AL0191,answers,关联学生养宠关系，正确统计女生所养的狗。
AL0192,answers,筛选身高大于200的扑克玩家并计算平均收益。
AL0193,does_not_answer,起降机场代码前导空格与城市尾随空格导致连接、过滤失配；规范化后有2班。
AL0194,answers,排除使用英语的国家后汇总其余国家人口。
AL0195,answers,按导演分组统计动画数。
AL0196,answers,筛选2014年演唱会并返回去重歌手姓名。
AL0197,answers,在Republic国家范围内按语言分组，筛选仅一国使用者。
AL0198,does_not_answer,机场代码及城市名空格未处理，错误返回0；规范化对照为2班。
AL0199,does_not_answer,英文月份日期文本按字典序排序，不是按实际播出时间排序。
AL0200,answers,按歌手国籍人数降序取最多的United States。
AL0201,answers,以永久住址筛选Haiti，或匹配指定手机号码，返回学生名字。
AL0202,answers,按店铺统计雇佣人数并返回最多员工的店名。
AL0203,answers,排除播过Ben Jones作品的频道ID。
AL0204,answers,返回Ben Jones导演的全部动画标题。
AL0205,does_not_answer,机场代码前导空格及城市名尾随空格造成连接、筛选失配；实际规范化后为2班。
AL0206,does_not_answer,“比非洲任何国家都多”需要超过非洲最大人口；SQL仅超过最小人口。
AL0207,does_not_answer,城市存为'Anthony '，未处理尾随空格导致漏掉实际机场。
AL0208,does_not_answer,COUNT(*)累计国家-语言记录，同一语言在同洲多国被重复计算，未统计语言种数。
AL0209,answers,按单次奖金降序取最高者姓名，符合one time限定。
AL0210,answers,按每只狗汇总治疗费用并筛选总额大于1000。
AL0211,answers,排除英语为官方语言的国家后计算平均预期寿命。
AL0212,answers,正确返回Hawaii或Wisconsin专业人员的邮箱。
AL0213,does_not_answer,缺少PetType='dog'条件；查询最年轻宠物而非最年轻狗，当前结果仅碰巧相同。
AL0214,answers,先筛选30岁以下员工，再按城市计数大于1。
AL0215,does_not_answer,四缸车MPG含文本'null'；CAST将其变成0并计入AVG，压低有效MPG均值。
AL0216,question_underspecified,“most popular”未指定按说话人数、国家覆盖或各国比例衡量；SQL采用各国比例之和。
AL0217,answers,返回非俄罗斯国籍人员姓名。
AL0218,answers,按净资产升序排列歌手姓名。
AL0219,answers,按国籍人数取最常见的United States。
AL0220,answers,按字母顺序列出全部动画标题。
AL0221,does_not_answer,DISTINCT作用于姓名和排名组合，同一Madison Keys占3行，不是3位最年轻胜者。
AL0222,does_not_answer,DestAirport实际有前导空格，直接与APG比较遗漏11条到达航班。
AL0223,does_not_answer,Europe是Continent而非Region取值；子查询MAX为NULL，面积比较失效。
AL0224,answers,筛选独立年份早于1930的国家并统计不同官方语言。
AL0225,question_underspecified,“visited some museums more than once”可指总访问次数或重复访问同一馆；SQL只统计总访问次数。
AL0226,answers,按战役汇总死亡人数，并返回总数大于10的ID和名称。
AL0227,does_not_answer,整数出生日期不能由该strftime表达式解析，排序键全NULL。
AL0228,does_not_answer,机场代码及城市名空格未处理，抵达Aberdeen或Abilene的统计错误为0。
AL0229,question_underspecified,登记age与出生日期的年龄顺序冲突；题目未指定依据，SQL按age计数。
AL0230,answers,排除有养宠关系的学生后计算平均年龄。
AL0231,answers,按净资产降序返回最富有歌手姓名。
AL0232,does_not_answer,错误以Region='Europe'筛选导致MIN为NULL；也未比较欧洲最大面积。
AL0233,answers,按球员国家代码分组计数。
AL0234,answers,由Kabul关联所属国家并返回Region字段。
AL0235,does_not_answer,航班机场代码和城市名存在空格，连接过滤失配；实际Aberdeen出发航班为21。
AL0236,does_not_answer,目的机场代码有前导空格，AHD直接等值匹配遗漏实际航空公司。
AL0237,does_not_answer,连接全部历史排名放大胜场计数，并返回未指定日期的任意积分。
AL0238,does_not_answer,DestAirport实际为带前导空格的代码；United Airlines到ASY有1班，SQL返回0。
AL0239,answers,正确筛选Hawaii或Wisconsin并返回专业人员邮箱。
AL0240,answers,交集正确要求同地区具有两类商品数量店铺；当前无符合地区。
AL0241,answers,筛选1980年后生产汽车并返回不同型号。
AL0242,answers,使用OR合并制造商数大于3与生产fiat的国家。
AL0243,answers,左连接保留无治疗记录者，以Indiana或治疗次数大于2筛选专业人员。
AL0244,answers,正确筛选32岁或33岁的教师。
AL0245,answers,将MPG转换为数值并取最高者，返回最省油车型。
AL0246,answers,按Kyle的学生ID关联Friend并计数。
AL0247,answers,正确统计重量大于10的宠物。
AL0248,answers,限定亚洲及Chinese官方语言，返回去重城市名称。
AL0249,answers,由指定动画标题关联返回频道系列名。
AL0250,does_not_answer,缺少欧洲洲别筛选，错误包含japan和usa。
AL0251,answers,“won in”按在赛事中赢过比赛理解，交集返回两个赛事均有胜场的球员。
AL0252,answers,正确统计2014或2015年的演唱会。
AL0253,answers,按容量5000至10000筛选场馆位置和名称；当前无符合者。
AL0254,does_not_answer,MPG为文本且含'null'，倒序选中缺失油耗的citroen而非数值最高车型。
AL0255,answers,按GovernmentForm的US Territory分类汇总GNP均值和人口。
AL0256,does_not_answer,仅保留有非官方英语记录的国家，漏掉完全没有英语记录的国家。
AL0257,does_not_answer,题目要求两个年份都参赛，SQL要求两个年份都获胜，漏掉仅以负者身份参赛的球员。
AL0258,does_not_answer,航班目的机场代码有前导空格，直接筛选AHD错误返回空表。
AL0259,does_not_answer,仅按州连接把州内全部区号当成投票区号；应由投票者电话号码识别区号。
AL0260,answers,正确返回指定剧集的周排名。
AL0261,answers,筛选USA球员并返回名字和出生日期。
AL0262,answers,通过交集要求同地区同时有两类店铺；当前无符合者。
AL0263,answers,正确排除法国国籍歌手。
AL0264,answers,按独立年份晚于1950筛选国家名。
AL0265,answers,按Kyle姓名定位并返回年级。
AL0266,answers,筛选CA投票并取最新时间戳。
AL0267,answers,使用交集要求同一战役同时损失Lettice与HMS Atalanta。
AL0268,answers,正确返回Port Chelsea地址的邮政编码。
AL0269,answers,从全部场馆排除2014年办过演唱会者。
AL0270,answers,正确统计亚洲国家数。
AL0271,answers,用交集返回同时有英语与法语记录的国家。
AL0272,answers,按制造商所属国家分组，返回有厂商的国家名及对应ID。
AL0273,answers,排除指定籍贯后返回教师姓名。
AL0274,answers,关联厂商至1970年汽车记录并返回去重厂商全名。
AL0275,answers,同时限定重量小于3500及非Ford厂商，返回不同型号。
AL0276,answers,按JetBlue Airways名称返回所属国家。
AL0277,answers,正确筛选左手球员并按出生日期排列，即按年龄从大到小排序。
AL0278,answers,筛选欧洲国家并排除英语为官方语言者，返回其城市。
AL0279,answers,返回库中Beatrix领导的国家的官方语言。
AL0280,question_underspecified,博物馆2与4各有2次访问并列最多；题目未明确并列时返回一馆还是全部。
AL0281,answers,按国家代码统计球员数。
AL0282,answers,关联扑克玩家并按身高降序返回最高者奖金排名。
AL0283,answers,按年龄升序排列员工姓名。
AL0284,does_not_answer,student_id与transcript_id不是学生和成绩单的关联键；直接相等连接错配人员。
AL0285,answers,分别关联官方英语及官方法语记录，正确要求两者都存在。
AL0286,answers,从全部频道ID中排除Ben Jones动画所在频道。
AL0287,answers,返回Anguilla所属洲。
AL0288,answers,使用交集返回2014与2015都办过演唱会的场馆及位置。
AL0289,answers,筛选20岁以上学生并统计其养宠关系；当前为0。
AL0290,answers,正确返回年龄大于1的宠物ID与重量。
AL0291,answers,返回所在国家使用英语且人口最多的城市；附加人口列无害。
AL0292,answers,按国籍统计歌手数。
AL0293,answers,排除2014年办过演唱会的场馆后返回名称。
AL0294,answers,将教师年龄转为整数后按从小到大排序。
AL0295,question_underspecified,“least expensive”未明确按单次最低价还是该类型平均费用；SQL按单次最低价。
AL0296,answers,正确筛选容量在5000至10000之间的场馆；实际为空。
AL0297,answers,正确统计亚洲国家数。
AL0298,question_underspecified,有5个国家各记录12种语言并列最高；题目未指定并列时取一个还是全部。
AL0299,answers,按年龄升序返回员工姓名。
AL0300,answers,正确筛选法国歌手并计算年龄均值、最小值和最大值。
AL0301,answers,排除英语频道后返回每个频道的像素宽高比和国家。
AL0302,answers,按国家统计球员数并筛选大于50者。
AL0303,answers,正确统计2014或2015年的演唱会。
AL0304,answers,按国籍分组统计人数。
AL0305,answers,关联Todd Casey编剧作品的频道并返回国家；当前两条国家不重复。
AL0306,does_not_answer,SourceAirport含前导空格，APG与CVO直接比较均不匹配，交集错误为空。
AL0307,answers,正确关联United Airlines并返回航班号。
AL0308,answers,从Kabul城市关联国家并返回Region。
AL0309,answers,返回Anguilla所属洲。
AL0310,does_not_answer,城市实际存为'Aberdeen '，直接等值比较漏掉两个机场。
AL0311,answers,通过IN选出有朋友的学生，每人只计一次平均年级。
AL0312,answers,筛选Afghanistan和官方标记T，正确计数。
AL0313,answers,通过差集返回无英语记录的国家代码。
AL0314,question_underspecified,“average”未指定全体城市还是区内城市的平均人口；SQL采用全体城市平均。
AL0315,answers,按店铺雇佣记录数降序取最多者。
AL0316,does_not_answer,student_enrolment_id与transcript_id不是对应关联键，成绩单连接错误。
AL0317,does_not_answer,目的机场代码含前导空格，AHD直接匹配遗漏实际航班公司。
AL0318,answers,限定亚洲及Chinese为官方语言，正确返回不同城市名。
AL0319,answers,按USA筛选并返回全部航空公司名称和缩写。
AL0320,answers,按年龄从小到大排列员工姓名。
AL0321,answers,合计亚洲与欧洲国家的面积。
AL0322,answers,返回歌手国籍中人数最多的United States。
AL0323,answers,按国籍分组筛选至少2人的国家。
AL0324,answers,通过交集筛选1945年前出生与1955年后出生歌手共享国籍。
AL0325,does_not_answer,Caribbean地区不等于美国属地，筛选对象错误。
AL0326,answers,关联指定制造商并统计其型号数。
AL0327,answers,按高清支持yes筛选并返回套餐和系列名。
AL0328,answers,按指定人口区间返回城市名称。
AL0329,answers,返回Kyle的学生ID。
AL0330,answers,筛选国籍不是USA的指挥家并返回姓名。
AL0331,answers,按身高降序选出最高扑克玩家的奖金排名。
AL0332,answers,按人口降序返回前三个国家名称。
AL0333,answers,筛选20岁以上歌手并返回去重国家。
AL0334,answers,筛选会员级别不高于4的访客并计算平均年龄。
AL0335,does_not_answer,Europe是洲名，不是Region取值；外层筛选错误导致无城市返回。
AL0336,answers,筛选歌名含Hey并返回歌手姓名与国家。
AL0337,answers,返回Brazil人口与预期寿命。
AL0338,answers,以国家差集排除存在Todd Casey动画播出记录的国家。
AL0339,answers,按面积降序返回5个最大国家及面积。
AL0340,answers,按人口升序返回3个最低人口国家。
AL0341,question_underspecified,“likes Kyle has”未明确是Kyle发出的喜欢还是收到的喜欢；SQL统计收到的喜欢。
AL0342,answers,以Spanish使用比例大于50%统计西班牙语占多数的国家。
AL0343,answers,返回非英语频道的像素宽高比与国家。
AL0344,answers,正确统计30岁以下访客数。
AL0345,answers,筛选2014、2015并要求场馆覆盖两个不同年份。
AL0346,answers,返回最高扑克玩家的奖金排名。
AL0347,answers,同时匹配Timmothy与Ward，返回手机号码。
AL0348,answers,按Joseph Kuhr编剧筛选动画并计数。
AL0349,answers,机场代码AKO在机场表准确匹配，返回对应名称。
AL0350,answers,正确筛选1948或1949年出生的歌手。
AL0351,answers,正确返回出生于1948或1949年的歌手姓名。
AL0352,answers,排除英语为官方语言国家后计算平均预期寿命。
AL0353,answers,限定1974年与八缸，正确取最小重量。
AL0354,answers,按航空公司ID关联并正确统计JetBlue Airways的100个航班。
AL0355,answers,返回歌名含Hey的歌手姓名及国家。
AL0356,does_not_answer,DestAirport实际有前导空格，直接APG等值过滤漏掉11条航班。
AL0357,answers,正确返回年龄大于1的宠物ID与重量。
AL0358,answers,返回Brazil人口与预期寿命。
AL0359,answers,使用差集及去重返回养狗但不养猫的学生名字。
AL0360,answers,先找最大容量场馆再统计其演唱会；该场馆实际无演唱会。
AL0361,answers,返回重量低于全部汽车平均重量的车辆型号。
AL0362,answers,排除有养宠记录的学生后计算平均年龄。
AL0363,answers,正确返回United Airlines的航班号。
AL0364,answers,按商品数量降序返回最多店铺的经理与地区。
AL0365,answers,按当前住址统计人数，返回最多地址的ID及全部地址行。
AL0366,answers,返回最年轻歌手的歌名与发行年份。
AL0367,answers,按Kyle姓名返回学生ID。
AL0368,answers,以当前年份减成立年份表示存续时长，并按从短到长排列唱片公司。
AL0369,answers,取2010年后开馆者的最小员工数，再筛选超过该值的全部博物馆。
AL0370,answers,返回指定剧集的播出日期。
AL0371,answers,正确统计Kyle作为学生端的朋友记录。
AL0372,answers,返回年龄超过全体歌手平均年龄的歌曲。
AL0373,answers,按赛事名称分组，筛选比赛记录数大于10者。
AL0374,does_not_answer,起飞机场代码及城市名空格未处理，连接、筛选失配导致遗漏Aberdeen航班。
AL0375,does_not_answer,同种语言在一洲多个国家出现被重复计数，统计的不是语言种数。
AL0376,answers,交集正确要求英语和法语都为官方语言。
AL0377,answers,按净资产数值升序列出歌手。
AL0378,does_not_answer,SourceAirport含前导空格，AHD直接比较导致United Airlines航班计数错误为0。
AL0379,answers,同时限定猫与3岁，返回其主人学生的姓。
AL0380,answers,正确限定欧洲与人口恰为80000；库中无符合国家。
AL0381,answers,返回A Love of a Lifetime的播出日期。
AL0382,answers,按人口升序返回3个最低人口国家。
AL0383,answers,排除已有课程安排的教师后返回姓名。
AL0384,does_not_answer,机场代码前导空格及城市名尾随空格导致统计失配。
AL0385,answers,按厂商ID统计型号数，并返回全名和ID；覆盖全部22家厂商。
AL0386,answers,每个有朋友学生仅取一次，正确计算平均年级。
AL0387,answers,用UNION合并Indiana居民和治疗次数大于2的专业人员。
AL0388,answers,通过朋友关系双向实体关联返回Kyle的朋友姓名。
AL0389,does_not_answer,Horsepower为文本且含'null'，文本降序选中ford缺失值而非数值最大马力。
AL0390,answers,使用交集要求学生同时拥有猫和狗；当前无符合者。
AL0391,does_not_answer,州名实际存为'NorthCarolina'，SQL使用'North Carolina'不匹配，漏掉未注册学生。
AL0392,answers,关联宠物、主人学生，正确统计女生养的狗。
AL0393,question_underspecified,age与出生日期标识的最年轻狗不同；题目未指定依据，SQL采用出生日期。
AL0394,answers,SQLite单个MAX聚合使语言列对应最大比例记录；返回国家代码及其最常用语言。
AL0395,answers,筛选30岁以下员工，按城市计数大于1。
AL0396,does_not_answer,目的机场代码及城市名的空格导致连接和过滤失配，漏掉实际到达航班。
AL0397,answers,按面积降序返回最大国家的名称、人口与领导人；列顺序无害。
AL0398,answers,按厂商分组统计型号数并返回全名、ID。
AL0399,answers,正确合计亚洲与欧洲的国家面积。
AL0400,answers,正确返回指定剧集的周排名。
AL0401,answers,按US Territory政府形式分类计算GNP均值和总人口。
AL0402,answers,按年龄降序返回全部歌手姓名、国家和年龄。
AL0403,answers,排除拥有猫的学生，保留无宠物者，返回专业与年龄。
AL0404,answers,正确统计独立年份早于1930国家的不同官方语言。
AL0405,does_not_answer,完整车型名称存于Make而非Model；错误列条件导致遗漏amc hornet sportabout (sw)。
AL0406,does_not_answer,按国家分组却选未聚合id，只返回任意一个频道；未列出符合国家的全部频道ID。
AL0407,answers,正确统计9或10年级高中生。
AL0408,does_not_answer,州名实际存为'NorthCarolina'，SQL使用'North Carolina'不匹配，漏掉未注册学生。
AL0409,answers,正确统计2013或2016年的全部比赛记录。
